nhm_id,time,min,max,mean,median,sum,area
84648,2016-01-01,5.0,15.0,7.085,7.0,3715.122,102.563
84648,2016-02-01,12.0,28.0,15.56,15.0,8159.306,102.563
84648,2016-03-01,33.0,55.0,40.114,40.0,21034.106,102.563
84648,2016-04-01,41.0,87.0,63.091,63.0,33082.6,102.563
84648,2016-05-01,85.0,136.0,113.154,112.0,59333.729,102.563
84648,2016-06-01,77.0,179.0,154.817,159.0,81180.051,102.563
84648,2016-07-01,65.0,169.0,132.036,139.0,69234.263,102.563
84648,2016-08-01,46.0,128.0,91.75,89.0,48109.98,102.563
84648,2016-09-01,35.0,116.0,88.495,93.0,46403.341,102.563
84648,2016-10-01,25.0,77.0,54.651,55.0,28656.631,102.563
84648,2016-11-01,10.0,31.0,20.417,20.0,10705.871,102.563
84648,2016-12-01,8.0,20.0,13.021,13.0,6827.898,102.563
84649,2016-01-01,4.0,17.0,8.044,7.0,13405.816,315.578
84649,2016-02-01,10.0,28.0,14.97,14.0,24947.341,315.578
84649,2016-03-01,15.0,69.0,37.035,36.0,61717.094,315.578
84649,2016-04-01,39.0,107.0,65.538,65.0,109215.596,315.578
84649,2016-05-01,80.0,146.0,113.959,114.0,189907.447,315.578
84649,2016-06-01,78.0,193.0,145.639,145.0,242700.925,315.578
84649,2016-07-01,61.0,172.0,121.339,120.0,202205.843,315.578
84649,2016-08-01,49.0,143.0,107.184,109.0,178617.761,315.578
84649,2016-09-01,27.0,117.0,85.132,86.0,141868.878,315.578
84649,2016-10-01,20.0,83.0,55.132,55.0,91875.071,315.578
84649,2016-11-01,10.0,39.0,22.333,22.0,37217.812,315.578
84649,2016-12-01,9.0,25.0,13.11,13.0,21847.71,315.578
84650,2016-01-01,2.0,20.0,8.443,10.0,10995.71,248.059
84650,2016-02-01,4.0,30.0,14.945,16.0,19464.561,248.059
84650,2016-03-01,18.0,65.0,34.1,33.0,44411.431,248.059
84650,2016-04-01,32.0,91.0,62.297,63.0,81135.424,248.059
84650,2016-05-01,69.0,138.0,103.397,102.0,134664.592,248.059
84650,2016-06-01,91.0,180.0,149.072,149.0,194151.129,248.059
84650,2016-07-01,62.0,186.0,136.515,143.0,177797.075,248.059
84650,2016-08-01,44.0,138.0,101.175,103.0,131769.729,248.059
84650,2016-09-01,39.0,118.0,84.856,86.0,110516.835,248.059
84650,2016-10-01,25.0,73.0,50.294,51.0,65502.459,248.059
84650,2016-11-01,9.0,35.0,19.643,20.0,25583.604,248.059
84650,2016-12-01,1.0,26.0,11.943,13.0,15554.682,248.059
84659,2016-01-01,2.031,18.987,8.17,8.016,6193.957,141.46
84659,2016-02-01,5.039,31.977,18.436,20.0,13998.248,141.46
84659,2016-03-01,14.052,50.979,26.754,26.044,20295.515,141.46
84659,2016-04-01,15.093,61.974,34.233,32.049,25967.675,141.46
84659,2016-05-01,42.169,125.977,88.075,88.075,66847.247,141.46
84659,2016-06-01,50.272,169.99,130.118,135.08,98768.214,141.46
84659,2016-07-01,69.226,172.977,127.662,125.08,96904.573,141.46
84659,2016-08-01,48.218,144.969,107.942,110.06,81938.917,141.46
84659,2016-09-01,32.226,135.958,78.133,81.099,59264.958,141.46
84659,2016-10-01,24.158,105.951,49.506,49.093,37530.898,141.46
84659,2016-11-01,7.067,36.992,19.317,19.036,14644.346,141.46
84659,2016-12-01,3.013,21.966,5.381,5.008,4081.585,141.46
84661,2016-01-01,2.0,17.0,8.38,8.0,6205.557,143.845
84661,2016-02-01,7.0,20.0,14.645,15.0,10844.212,143.845
84661,2016-03-01,16.0,58.0,30.776,31.0,22789.149,143.845
84661,2016-04-01,18.0,59.0,38.053,38.0,28177.392,143.845
84661,2016-05-01,50.0,119.0,88.607,91.0,65611.431,143.845
84661,2016-06-01,72.0,170.0,154.653,160.0,114517.204,143.845
84661,2016-07-01,68.0,170.0,145.208,148.0,107523.71,143.845
84661,2016-08-01,62.0,137.0,123.394,126.0,91370.741,143.845
84661,2016-09-01,31.0,114.0,99.995,104.0,74043.898,143.845
84661,2016-10-01,30.0,75.0,63.5,65.0,47020.306,143.845
84661,2016-11-01,8.0,31.0,23.381,24.0,17313.067,143.845
84661,2016-12-01,4.0,23.0,11.163,11.0,8265.976,143.845
